time_stamp,latitude,longitude,ns_indicator,ew_indicator,gps_satellites,altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,magnetometer_x,magnetometer_y,magnetometer_z,angular_speed_x,angular_speed_y,angular_speed_z,acquisition_board_state_1,acquisition_board_state_2,acquisition_board_state_3,power_supply_state_1,power_supply_state_2,payload_board_state_1
1365,0,0,N,W,19,2227.4267486416516,26600.08177467881,42.52762367020301,0,0,0,0,0,0,25.24563033839975,135.3791417436594,-159.2610252445922,0,0,1,0,1,0
1489,0,0,N,W,21,2246.062569083306,26708.808251034014,42.33615179857485,0,0,0,0,0,0,25.690708578627746,138.4594315991566,-160.89581716214659,0,1,0,0,0,1
1580,0,0,S,E,19,2262.847438696704,26829.094079551076,41.48334678978318,0,0,0,0,0,0,25.17831017523762,135.30150069460666,-161.9912373167885,1,1,0,0,1,0
1709,0,0,N,W,19,2276.332758907697,26929.945478579222,42.04752603232459,0,0,0,0,0,0,24.23474346094092,131.78939767623132,-162.61178524272788,0,1,1,1,1,1
1799,0,0,N,W,21,2296.0975953007824,27049.915833682775,41.571264177214665,0,0,0,0,0,0,26.748026317957855,134.9638652762136,-165.82871422409056,0,1,1,1,0,0
1927,0,0,N,W,16,2308.1580434392317,27156.620895111395,41.47530330721349,0,0,0,0,0,0,30.360949010488252,132.3504941951473,-162.44878319994518,1,1,1,1,1,1
2005,0,0,N,W,16,2325.6974634088274,27253.121811191344,42.586340928777204,0,0,0,0,0,0,30.68189799227345,133.5233602006298,-167.35742478541135,0,0,0,0,0,1
2092,0,0,S,W,24,2344.0402178079526,27379.971549432772,42.3405997250737,0,0,0,0,0,0,35.011818455194124,131.4881821401701,-169.47058737837216,0,1,0,0,0,1
2220,0,0,N,E,17,2356.7615384618252,27466.72749550626,42.389892588463674,0,0,0,0,0,0,32.73211037764727,128.91646768500848,-169.12920269863605,1,0,0,0,1,1
2345,0,0,S,E,18,2374.4358361201125,27580.792348366293,42.01411422434102,0,0,0,0,0,0,36.921890447379894,126.69623111875094,-170.25926884532154,1,0,1,0,1,1
2439,0,0,N,E,19,2394.1310490912915,27696.462728492534,42.22787982850353,0,0,0,0,0,0,35.184296403221275,126.7051879085008,-170.6871130187243,1,1,0,1,0,0
2553,0,0,N,E,18,2408.662904562282,27796.701628264327,42.017797358302005,0,0,0,0,0,0,38.050762678668455,123.38509100247057,-167.06791890314966,1,1,0,0,0,0
2675,0,0,N,W,16,2423.3847801809984,27900.260035912062,41.50047279044301,0,0,0,0,0,0,40.56658352524769,125.18296715010233,-167.8171969714021,1,0,0,0,1,0
2751,0,0,N,W,19,2440.1865990460014,28016.406206191805,41.60216222602414,0,0,0,0,0,0,42.55254653492382,124.6041252993008,-166.44578035064544,1,0,0,0,1,1
2853,0,0,S,E,24,2457.593320899293,28138.97135034116,41.99784124693188,0,0,0,0,0,0,42.91004150398405,118.75717918876695,-168.68725425427323,1,1,0,1,0,1
2926,0,0,N,W,17,2472.428524818531,28235.92690226271,41.959395567826775,0,0,0,0,0,0,48.59555071803447,118.096412305023,-169.40735487871564,0,1,0,0,1,1
3022,0,0,N,E,16,2490.82657882411,28340.395493223776,42.4687113103191,0,0,0,0,0,0,45.786867921994876,116.25499271413712,-172.74780541972197,0,0,1,1,1,0
3145,0,0,N,W,21,2505.5720717364543,28466.17985701756,42.54347069055106,0,0,0,0,0,0,47.089069172229344,118.15399356139642,-173.27690044979045,0,0,0,0,1,0
3235,0,0,N,E,15,2524.3220616727617,28567.858171153264,42.07822629812857,0,0,0,0,0,0,49.60208959849622,117.75210294486453,-172.50395785152617,1,0,0,1,0,0
3320,0,0,N,W,20,2538.3957813955108,28692.370167678237,41.4118049249004,0,0,0,0,0,0,49.75790949101033,116.44738547846237,-174.5543633935859,1,0,0,1,0,1
3434,0,0,N,E,16,2554.7391396063563,28793.43010753687,41.6837776192617,0,0,0,0,0,0,53.62825014165684,114.88356130674491,-172.7325792195537,0,1,1,1,0,0
3506,0,0,S,E,23,2570.1966899805825,28914.735555920994,42.380434520921035,0,0,0,0,0,0,54.541623913797785,111.74216439578116,-174.99163114108805,1,0,1,0,1,0
3592,0,0,N,W,23,2590.3185113608597,29004.860726658062,42.21118116311952,0,0,0,0,0,0,59.11139877970537,109.32467038455606,-171.70401951654637,0,1,1,0,1,1
3708,0,0,N,E,23,2605.9129046590383,29119.91113906771,41.9900189951624,0,0,0,0,0,0,57.98941614927244,112.00507511360652,-174.47782035482848,0,1,1,0,0,1
3819,0,0,N,W,17,2622.0211098603354,29224.28656977887,42.56302873054797,0,0,0,0,0,0,58.18459432740653,110.62356503517681,-175.57306180341814,0,0,0,1,1,1
3940,0,0,N,W,21,2635.492115151647,29336.78879644281,41.97998798216892,0,0,0,0,0,0,60.21448899113504,105.1881551241354,-172.8306574138918,0,1,0,0,0,1
4028,0,0,N,W,15,2651.2861971771713,29446.478967918596,41.7900429191679,0,0,0,0,0,0,65.33708037739663,106.88431436073394,-174.54647464517438,1,1,1,1,1,0
4157,0,0,N,W,17,2668.522478683209,29575.29012847394,42.20762736666293,0,0,0,0,0,0,60.88802061136095,104.48197422966311,-174.68148285519482,0,1,0,0,0,0
4240,0,0,N,E,17,2688.2846510276822,29682.2260056672,42.05942450205482,0,0,0,0,0,0,67.0529011633681,100.26304256049937,-172.07542156675154,1,1,0,1,1,0
4328,0,0,S,W,17,2703.427983723387,29789.801488310197,41.95021285760202,0,0,0,0,0,0,67.14139369312099,98.78264752226525,-172.74101853046693,1,0,1,1,0,1
4434,0,0,S,E,23,2719.827166512398,29909.122304241228,42.094702497805926,0,0,0,0,0,0,69.67541481626552,98.71585668637083,-172.09825910134484,0,0,1,0,1,1
4562,0,0,N,W,19,2737.2797836824593,30012.676836554496,41.98908726838245,0,0,0,0,0,0,67.39190455166678,95.91235880493795,-172.62904020168637,0,1,1,1,0,1
4676,0,0,S,W,22,2753.328375124264,30114.537876270715,42.601490104541234,0,0,0,0,0,0,68.97628627194773,99.41578345082392,-173.56718269186538,0,0,1,0,1,1
4746,0,0,N,W,21,2768.962331708054,30213.572829363184,41.48230120459055,0,0,0,0,0,0,72.14910063696266,97.72487469623556,-171.99426971205529,1,1,0,1,0,0
4832,0,0,N,W,21,2785.912298851115,30346.640784945088,41.72167734537587,0,0,0,0,0,0,74.28756751050561,93.39375223347984,-172.10663126138803,0,0,1,1,1,0
4936,0,0,S,W,19,2801.2948624529295,30437.935000991136,42.58043548155658,0,0,0,0,0,0,72.48922983411822,92.03278596309603,-173.23460398163226,0,1,1,0,0,0
5039,0,0,S,E,24,2816.4433629196415,30555.15856865458,41.97085977750596,0,0,0,0,0,0,78.58798820192327,88.55019267953158,-173.20830728233906,1,0,0,0,0,1
5156,0,0,N,W,16,2833.005846183147,30648.99399627264,41.46663044719873,0,0,0,0,0,0,79.08441151091216,90.33083963113658,-177.72540593897037,1,0,0,0,0,0
5267,0,0,N,W,20,2847.306074764597,30789.57838044417,42.166613217247416,0,0,0,0,0,0,76.48671710591975,88.92421333579492,-173.1209467318359,1,0,0,1,0,1
5352,0,0,N,W,23,2866.66729978216,30878.458303727686,42.43588432864613,0,0,0,0,0,0,81.17164437072296,89.06666752999143,-174.28162056037095,0,0,0,0,0,1
5426,0,0,N,W,20,2884.487374819323,30995.86092910471,42.17062103039625,0,0,0,0,0,0,82.32507516720717,86.04788071404705,-173.14852060619788,1,1,0,1,0,0
5543,0,0,S,E,21,2900.435245630032,31112.963089282795,42.60024921587814,0,0,0,0,0,0,82.54835977973399,82.87407885238557,-175.03057326508844,0,0,1,1,0,0
5662,0,0,N,E,21,2914.6336393062193,31217.80734619895,42.16807887375663,0,0,0,0,0,0,84.47428291790061,83.63467929419909,-176.659494528168,1,1,0,1,1,1
5733,0,0,N,E,16,2932.342380776727,31320.610357795314,42.350919252547556,0,0,0,0,0,0,88.99280265601365,78.55097310780916,-174.2221195899919,0,1,1,1,0,0
5844,0,0,S,E,16,2945.200682152083,31442.412415869065,41.89586811131615,0,0,0,0,0,0,90.18248483209754,80.51711106332561,-174.8763227338174,1,1,0,1,1,0
5957,0,0,N,W,18,2962.8697287360364,31539.952394394466,42.31273585342996,0,0,0,0,0,0,86.29708712375464,75.3116052358531,-172.66818407839003,1,1,1,1,1,0
6027,0,0,S,W,17,2982.0487070322724,31640.63685808572,42.34935791818923,0,0,0,0,0,0,91.60381914329733,77.79534634316036,-172.830267364307,0,1,1,1,1,0
6099,0,0,S,W,17,2998.782165835831,31754.39725965112,41.60818616709297,0,0,0,0,0,0,89.6229432045471,73.8149619661976,-175.8721080575544,1,0,1,1,0,0
6226,0,0,S,E,15,3012.585288712457,31888.34052013386,41.72513950764755,0,0,0,0,0,0,91.07108649132094,71.510635250002,-175.57292396766923,1,0,1,0,0,1
6345,0,0,N,E,17,3027.058165560921,31974.12653210054,42.259380730412964,0,0,0,0,0,0,92.64482177915794,68.87697559473897,-176.32650323120674,0,0,1,1,1,0
6420,0,0,S,E,20,3046.56758616114,32078.890409058033,41.60588617090691,0,0,0,0,0,0,92.5253315690341,70.60881901327505,-174.25909349147886,0,1,0,1,1,1
6512,0,0,S,W,24,3061.3857489356087,32204.7500567271,41.771885117968175,0,0,0,0,0,0,95.87979380447182,65.17438593227065,-173.7459565002843,1,0,0,0,0,1
6586,0,0,S,W,23,3080.2144411259565,32326.30354005464,42.385644021604136,0,0,0,0,0,0,96.59205328942875,63.984403787158875,-176.34033011807253,0,0,1,1,0,0
6706,0,0,S,E,18,3097.113370451946,32422.765593040123,41.76315966478236,0,0,0,0,0,0,101.12231519753139,65.62049920788954,-175.6288385833478,0,0,0,0,0,0
6784,0,0,S,E,21,3110.063180318977,32526.27390743648,41.77470783702496,0,0,0,0,0,0,103.04811852458855,62.030496852948865,-172.10990346965264,0,0,0,0,1,0
6865,0,0,S,E,17,3127.6242350881957,32639.66606183481,41.561883948999586,0,0,0,0,0,0,100.8164226831002,59.083127677335376,-172.5568416592449,0,1,1,0,1,0
6945,0,0,S,W,16,3144.7893720649713,32770.26411932532,41.78075799182215,0,0,0,0,0,0,101.75088146138313,57.890501609602566,-170.58805644196025,0,0,1,0,0,1
7051,0,0,N,W,17,3162.515541659592,32853.235487721664,42.05574313653992,0,0,0,0,0,0,102.30115991524153,55.01679413817269,-169.32842830499519,1,0,1,0,1,0
7156,0,0,S,E,21,3174.8192220626065,32969.7604499291,42.342507991280186,0,0,0,0,0,0,105.10784937679283,58.984233143513464,-170.7855524046636,1,0,0,1,0,1
7271,0,0,N,E,23,3192.1292942618497,33089.79168363772,41.70146634494927,0,0,0,0,0,0,108.23612017007962,56.6465852885578,-171.11575147048987,0,0,1,0,1,1
7382,0,0,S,E,21,3207.8455819377064,33201.51722657674,42.08140471474581,0,0,0,0,0,0,107.15334308630553,54.27216320432943,-169.51501649758754,1,1,1,0,1,0
7465,0,0,S,E,21,3225.5646969544678,33305.241903663744,41.67242733554864,0,0,0,0,0,0,110.9288612590579,54.04305858092896,-171.33359144625996,0,1,0,1,0,0
7585,0,0,N,E,19,3241.6436630881126,33415.98311755884,42.12444963945487,0,0,0,0,0,0,109.62112150197382,51.86854704962962,-169.18476341454755,1,1,1,0,0,0
7712,0,0,S,E,22,3256.9755294393044,33520.34986255395,42.023204937810476,0,0,0,0,0,0,108.97680034868381,46.48562978500291,-168.51749403426663,1,1,1,0,1,1
7785,0,0,N,E,21,3275.228130415401,33624.06490037649,41.40821596442275,0,0,0,0,0,0,111.42392669721148,44.048323031606756,-172.11788040284696,1,1,0,1,1,0
7886,0,0,N,W,19,3293.0237579586187,33744.91526680721,42.27816289048585,0,0,0,0,0,0,110.91478747807282,46.00771737480721,-170.46615215016487,1,0,0,0,0,1
8006,0,0,S,W,23,3307.3449570460944,33841.709593214386,42.31199156232817,0,0,0,0,0,0,111.89440293128655,45.34450936615968,-170.02042550785072,1,1,1,0,0,1
8129,0,0,N,E,21,3322.498530736133,33957.18726022473,41.411477214098106,0,0,0,0,0,0,115.13122861951454,43.3601831847,-170.0864341553815,0,1,1,0,0,0
8206,0,0,S,E,18,3341.821006560526,34075.0637096892,41.461113748381884,0,0,0,0,0,0,116.2133853153013,37.86518217430336,-167.88352474530458,0,1,0,1,0,0
8288,0,0,S,W,16,3354.576925658746,34192.19201730196,42.45132271344757,0,0,0,0,0,0,118.26985549090789,40.72393082583087,-166.83007623999285,0,0,0,1,0,0
8414,0,0,S,E,17,3374.254955685821,34307.29351673634,42.10545301188196,0,0,0,0,0,0,119.7758161834604,37.23266435788075,-163.32968680102576,0,1,1,0,0,0
8520,0,0,S,E,21,3387.810375898124,34416.84564730918,41.50157451821666,0,0,0,0,0,0,118.52699843021313,31.682574257731446,-166.15315248645726,0,1,1,0,1,0
8626,0,0,S,E,16,3407.7540946888653,34527.45399715617,41.51038879370701,0,0,0,0,0,0,118.98649732128519,31.93362777671675,-162.9905128924383,0,0,1,1,1,1
8729,0,0,N,W,20,3422.565349870479,34630.59576382961,42.204588488323594,0,0,0,0,0,0,119.31571372233722,32.439072450784685,-165.90693813873747,0,1,1,0,1,0
8830,0,0,N,W,21,3439.0652630454765,34734.36071178022,42.232082115577924,0,0,0,0,0,0,126.22892227352472,31.549750740856254,-166.614618953175,0,1,1,0,0,0
8937,0,0,N,E,24,3454.8146657235147,34860.32828010667,41.85586477801435,0,0,0,0,0,0,124.95241610591539,26.76160300535857,-163.77183706390565,1,0,0,1,1,1
9035,0,0,S,E,17,3471.584277770342,34968.13735503937,41.45334680496643,0,0,0,0,0,0,122.92304215567842,28.279514801438516,-163.0993644177226,0,0,0,0,0,0
9141,0,0,S,E,22,3487.3805742024433,35064.39220230704,42.25840368035133,0,0,0,0,0,0,127.1386977037281,22.276157045392928,-163.70855266992385,0,1,1,1,1,0
9221,0,0,S,W,15,3501.506275431531,35183.09350579257,42.45844566054487,0,0,0,0,0,0,126.24179430123348,19.888234810570157,-162.98642372341706,0,0,0,0,0,0
9295,0,0,N,E,21,3520.0445030278843,35280.63096283544,42.56166579672118,0,0,0,0,0,0,126.69164214649172,17.705547493474835,-161.7270732905095,1,1,1,0,0,1
9394,0,0,S,W,16,3537.304661467284,35382.73505237661,42.003639859803044,0,0,0,0,0,0,127.9082059252912,19.35434392752325,-161.7147060381245,1,1,1,1,1,1
9499,0,0,N,W,19,3553.1495422912644,35489.86704030481,41.618895542860365,0,0,0,0,0,0,127.57359932021548,18.880152756756893,-162.00124493867014,0,1,1,1,1,1
9610,0,0,N,E,20,3570.2920987543757,35627.867814304074,42.28621948694904,0,0,0,0,0,0,128.60983067261094,17.945999995692926,-157.20198142218757,0,1,1,1,1,1
9739,0,0,N,E,24,3586.8409968924902,35724.483948391666,42.41963113412884,0,0,0,0,0,0,134.1178006325718,15.23522505878284,-156.76722588116888,0,1,1,0,0,0
9824,0,0,S,E,20,3599.2029913091646,35848.24681884749,41.78280778524958,0,0,0,0,0,0,130.62084250083078,8.767660204629939,-154.87689981717926,0,1,1,1,0,0
9952,0,0,N,W,20,3617.7100908558464,35954.07150240774,42.086969482773746,0,0,0,0,0,0,135.39000208138017,8.997914638863211,-157.05327431273437,1,0,1,1,1,0
10071,0,0,S,W,19,3633.2211670599695,36054.78323530656,42.35410355136228,0,0,0,0,0,0,132.48672893141458,5.704193074860747,-152.52261956122499,0,1,0,1,0,1
10177,0,0,S,E,24,3652.610030959194,36154.32077263975,41.67956733436564,0,0,0,0,0,0,134.98443404692745,7.0980339046051535,-155.63352623945772,1,1,1,0,1,0
10278,0,0,S,E,15,3665.719730249446,36265.61897925899,41.60123253349061,0,0,0,0,0,0,133.68384895398273,6.334658793214546,-153.95473398131426,0,1,1,1,1,1
10400,0,0,N,W,23,3685.8007268977262,36375.62091396663,42.438199645132265,0,0,0,0,0,0,139.78651659239617,1.8279061740357165,-152.52017636401058,0,1,1,1,1,1
10530,0,0,S,W,20,3699.102923127014,36492.805558204855,41.57116229518938,0,0,0,0,0,0,136.2284857157069,2.285981064310975,-149.28039941486162,0,1,0,1,0,1
10632,0,0,N,W,19,3715.793792679992,36611.76295386031,41.54606488625654,0,0,0,0,0,0,138.27592892246236,0.23468633868623667,-153.45231149389218,0,0,0,0,1,0
10705,0,0,N,W,23,3733.9787932447407,36700.28373527989,41.40391327436645,0,0,0,0,0,0,141.92292612323152,-4.030176088110042,-153.36835531462077,1,0,0,1,0,1
10789,0,0,S,W,15,3748.407272196285,36839.39204248704,42.21234764675357,0,0,0,0,0,0,139.2171942597539,-4.75314091093393,-149.7843942538073,0,0,0,0,0,1
10906,0,0,N,W,22,3763.0979293196096,36938.25247726661,41.44174902967655,0,0,0,0,0,0,143.5779379614778,-5.586755225484961,-148.62192369998928,0,1,0,0,1,1
11016,0,0,S,E,18,3779.4475746744874,37037.86248853813,42.394857522496395,0,0,0,0,0,0,144.41312273704628,-8.363058093821197,-148.84578420172411,1,0,1,0,1,0
11119,0,0,N,W,16,3798.802735280923,37151.27616102789,42.457241113615126,0,0,0,0,0,0,142.31030164264942,-9.202783899004404,-143.8755232080509,0,0,0,1,0,0
11202,0,0,S,E,20,3816.3807021256544,37275.96254826888,41.5183020284939,0,0,0,0,0,0,143.30370502157913,-12.05588621711006,-147.66230528468577,0,1,1,0,1,1
11280,0,0,N,W,22,3829.0954215733345,37371.20383976126,42.47719391021224,0,0,0,0,0,0,144.52164257611759,-13.239440954893409,-147.01982457370977,1,1,1,0,1,1
11374,0,0,S,E,21,3845.9973344030113,37481.82286815023,41.99712215588432,0,0,0,0,0,0,146.9072030722986,-12.788295050780514,-142.91110711540765,1,1,1,0,1,0
11465,0,0,S,E,15,3861.2417458652894,37602.594988279576,42.31562763589434,0,0,0,0,0,0,147.6959120053742,-13.758984747161408,-141.15617930878383,0,1,1,1,0,1
11553,0,0,S,E,19,3880.844164028896,37689.55196061295,42.226266328195045,0,0,0,0,0,0,148.02816501608118,-19.00498823289045,-144.38468187863697,0,0,1,1,1,1
11641,0,0,N,W,20,3894.277796387626,37830.4477889855,42.56273391557315,0,0,0,0,0,0,148.34750388101534,-20.61691951876658,-142.68514034496,0,1,1,0,1,1
11756,0,0,S,E,16,3912.5778923748453,37935.01565625397,41.97935010901346,0,0,0,0,0,0,147.15375155683196,-21.482046185067187,-141.91971125410473,0,0,0,1,0,0
11833,0,0,N,W,22,3929.2606316393017,38048.03271901768,42.421946137861234,0,0,0,0,0,0,147.30674416620798,-20.244627054250348,-136.6523735784525,1,0,0,0,1,0
11926,0,0,N,W,21,3943.8872603905393,38151.507062402976,41.71182352771522,0,0,0,0,0,0,149.62709040682398,-22.634093988799467,-136.98926967129842,1,0,0,0,0,0
12056,0,0,N,W,24,3962.052811598564,38242.94417605335,41.5046375694023,0,0,0,0,0,0,146.32899203912967,-23.918982889718233,-134.08728350143073,1,1,1,0,0,0
12134,0,0,S,W,17,3979.013148017579,38353.682053971475,42.54656642395943,0,0,0,0,0,0,152.2113657852065,-26.357431492139156,-137.0260912423876,1,0,0,0,0,0
12216,0,0,N,W,16,3992.986656879326,38459.218485595164,41.66990596334022,0,0,0,0,0,0,152.47316759242403,-29.58265863083026,-136.47773769253695,0,0,0,0,0,1
12309,0,0,S,E,19,4011.6186809801393,38572.663302753666,41.73988427083074,0,0,0,0,0,0,153.54722134921184,-32.23414847569977,-131.9845474943955,1,1,0,1,0,1
12423,0,0,S,W,23,4024.920573809385,38696.01301449354,41.782535778187366,0,0,0,0,0,0,152.6021277379942,-32.6243604878136,-130.1751244726443,0,1,1,0,1,1
12500,0,0,S,E,16,4045.0468000031037,38798.31100445537,41.54757136643418,0,0,0,0,0,0,154.0114241109852,-36.42543560434995,-129.42697785846988,0,1,1,1,1,0
12594,0,0,S,E,23,4060.3216565236585,38898.678579842584,42.34990456720861,0,0,0,0,0,0,149.6227646661026,-37.043985407894766,-132.5757198075455,0,1,0,0,1,1
12699,0,0,S,E,18,4076.083899514718,39017.862146352076,41.67895545717849,0,0,0,0,0,0,152.00650617778544,-36.82063481784895,-126.5563667984276,1,0,0,0,1,0
12806,0,0,N,E,16,4094.0402041093935,39125.984126498246,42.25421998655615,0,0,0,0,0,0,154.02532802688182,-40.40812623652972,-129.00630309050302,0,1,1,0,0,0
12924,0,0,N,E,17,4109.348349417591,39249.65706646594,41.974736490394704,0,0,0,0,0,0,155.23386591389985,-42.688700583227586,-129.0449587520147,1,1,0,1,0,0
13002,0,0,S,W,23,4123.75459671797,39349.348610193265,42.542978826633906,0,0,0,0,0,0,153.3293734476685,-45.269829687334926,-126.68463319662106,0,1,0,0,0,0
13080,0,0,S,E,24,4139.049151486797,39449.33687910119,42.06381848494263,0,0,0,0,0,0,156.01282304757999,-44.50066621287508,-122.55539810232683,1,1,0,0,0,1
13161,0,0,N,E,17,4159.259706680319,39575.879545794895,41.62519634828032,0,0,0,0,0,0,154.2038664054987,-45.870392015996465,-123.54914507268909,0,0,0,1,1,0
13267,0,0,S,W,21,4172.016116425189,39670.72680668051,42.486540116887326,0,0,0,0,0,0,156.65500117582485,-46.6901187284179,-121.63374232083419,1,1,1,1,0,1
13363,0,0,N,E,22,4190.763747374075,39798.14878239966,41.938427162040895,0,0,0,0,0,0,154.57504721107955,-50.87939794320108,-121.54396146156881,0,1,0,1,1,1
13460,0,0,S,E,23,4208.381908071897,39915.55358915325,42.354408167550844,0,0,0,0,0,0,154.14045551337603,-50.85106925652061,-117.35531203922352,1,1,0,0,0,0
13556,0,0,S,W,19,4220.381658431929,40018.08934251587,42.043436338699124,0,0,0,0,0,0,155.75659849243794,-51.76624804177588,-119.37312922318094,1,1,1,0,1,1
13627,0,0,S,E,19,4237.336859551086,40123.10161897797,41.77196518042314,0,0,0,0,0,0,155.86225397733656,-52.95694217857132,-118.17796532484365,0,0,1,0,1,0
13720,0,0,N,E,23,4256.758330162692,40227.33461809854,42.131715053714316,0,0,0,0,0,0,156.15921328200764,-56.321735691195784,-115.62776179655171,0,0,0,0,0,0
13832,0,0,N,W,21,4272.376386258336,40336.36434507957,41.70948445618505,0,0,0,0,0,0,156.89471629570681,-60.24735550279822,-111.36505053173207,1,0,0,0,0,0
13926,0,0,S,W,22,4286.943232385141,40459.25220033666,41.50408610904776,0,0,0,0,0,0,160.36814807394217,-59.9703857368933,-113.21433801905727,0,0,1,0,1,1
14033,0,0,S,E,21,4302.657854745518,40573.5777895149,42.09823620777989,0,0,0,0,0,0,156.53679453523358,-64.68405976065603,-109.6712169066402,0,1,1,1,1,1
14142,0,0,S,W,20,4322.711689494577,40688.95519159035,41.42644780422561,0,0,0,0,0,0,158.08377577569462,-61.093328780420244,-111.58390369249437,1,0,1,0,0,0
14231,0,0,S,W,22,4336.104201299773,40783.083729934806,42.23126636201251,0,0,0,0,0,0,156.8259115812405,-63.282482637555255,-105.54532054367291,0,1,1,1,1,1
14310,0,0,S,W,17,4351.385835211856,40881.919409077105,42.37929374762558,0,0,0,0,0,0,159.54112415727738,-69.48845441363721,-107.09716746948007,0,1,0,0,1,1
14383,0,0,S,W,18,4371.331359329989,40997.30352692269,41.84580840299193,0,0,0,0,0,0,159.30865594214595,-65.81406538823569,-105.70864328819926,0,0,0,1,0,1
14498,0,0,N,E,16,4388.579073144452,41105.278144385964,41.99453477561454,0,0,0,0,0,0,161.51952838044306,-70.27654128045747,-103.9007348789499,0,1,1,0,0,0
14580,0,0,N,E,16,4403.646355806231,41238.204856447104,41.56416477907492,0,0,0,0,0,0,160.32287592927088,-72.59346898945108,-102.26510137741145,1,0,0,0,0,0
14653,0,0,S,W,23,4418.671545757429,41324.147527519344,42.10039258520938,0,0,0,0,0,0,158.45958222752296,-71.30762213684766,-100.51388659097466,1,0,1,1,1,0
14734,0,0,N,E,22,4434.213641007061,41437.38174911209,41.6322026828689,0,0,0,0,0,0,160.67294262117753,-77.67652049278202,-100.5462321734175,0,0,0,1,0,0
14817,0,0,N,W,22,4452.579530948251,41538.40597315617,41.40918739895292,0,0,0,0,0,0,156.92465473687454,-75.25797543342254,-96.254136386953,0,1,0,0,0,0
14890,0,0,N,E,23,4465.747617978937,41663.00703094332,41.95436508818818,0,0,0,0,0,0,161.99726222436234,-77.45462055052747,-97.64611275885355,1,0,1,0,0,0
15005,0,0,S,W,19,4481.957728213543,41787.030288680486,42.32758934647477,0,0,0,0,0,0,158.86616791889386,-78.22010612208788,-96.0412902343194,0,0,0,0,0,1
15124,0,0,S,E,23,4498.358965216369,41870.51254162311,42.29595723335976,0,0,0,0,0,0,161.78454851715537,-81.00248555826623,-96.62945953877129,0,0,1,0,1,0
15250,0,0,S,E,22,4517.772086914305,41997.61176052233,41.82543974148803,0,0,0,0,0,0,161.76242058615858,-84.12060447643141,-93.58914215506134,1,1,1,1,1,0
15354,0,0,N,W,17,4533.769939899963,42103.775341099674,42.42525785321823,0,0,0,0,0,0,157.1138910490483,-86.95351097369752,-92.97652844359075,0,0,0,1,1,1
15462,0,0,N,E,24,4548.813574673561,42217.43326054881,42.12981071853998,0,0,0,0,0,0,161.54576317848873,-86.94986726596186,-87.53537413288781,0,1,0,0,1,1
15562,0,0,S,W,17,4568.0847249737635,42334.70964308793,41.846961480834956,0,0,0,0,0,0,161.92113065082663,-85.43273222498162,-84.67911279930091,0,0,0,1,0,0
